game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,focal_seat
0,0,27,39,1,4,48,BoundedGreedyAgent,HeuristicAgent,0
1,1,49,58,1,5,64,HeuristicAgent,BoundedGreedyAgent,1
2,2,33,36,1,4,51,BoundedGreedyAgent,HeuristicAgent,0
3,3,41,55,1,4,45,HeuristicAgent,BoundedGreedyAgent,1
4,4,72,52,0,6,81,BoundedGreedyAgent,HeuristicAgent,0
5,5,44,63,1,5,68,HeuristicAgent,BoundedGreedyAgent,1
6,6,56,45,0,5,68,BoundedGreedyAgent,HeuristicAgent,0
7,7,46,70,1,5,75,HeuristicAgent,BoundedGreedyAgent,1
8,8,60,41,0,5,67,BoundedGreedyAgent,HeuristicAgent,0
9,9,35,49,1,4,55,HeuristicAgent,BoundedGreedyAgent,1
10,10,74,67,0,6,84,BoundedGreedyAgent,HeuristicAgent,0
11,11,26,55,1,5,66,HeuristicAgent,BoundedGreedyAgent,1
12,12,57,46,0,5,70,BoundedGreedyAgent,HeuristicAgent,0
13,13,37,59,1,4,48,HeuristicAgent,BoundedGreedyAgent,1
14,14,40,43,1,4,48,BoundedGreedyAgent,HeuristicAgent,0
15,15,29,63,1,4,53,HeuristicAgent,BoundedGreedyAgent,1
16,16,58,43,0,5,63,BoundedGreedyAgent,HeuristicAgent,0
17,17,57,52,0,6,75,HeuristicAgent,BoundedGreedyAgent,1
18,18,39,51,1,5,55,BoundedGreedyAgent,HeuristicAgent,0
19,19,44,49,1,5,69,HeuristicAgent,BoundedGreedyAgent,1
20,20,77,60,0,7,83,BoundedGreedyAgent,HeuristicAgent,0
21,21,35,46,1,4,55,HeuristicAgent,BoundedGreedyAgent,1
22,22,39,33,0,4,41,BoundedGreedyAgent,HeuristicAgent,0
23,23,41,42,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
24,24,65,49,0,5,62,BoundedGreedyAgent,HeuristicAgent,0
25,25,47,54,1,5,69,HeuristicAgent,BoundedGreedyAgent,1
26,26,49,43,0,4,58,BoundedGreedyAgent,HeuristicAgent,0
27,27,41,38,0,4,51,HeuristicAgent,BoundedGreedyAgent,1
28,28,39,37,0,4,48,BoundedGreedyAgent,HeuristicAgent,0
29,29,39,61,1,5,79,HeuristicAgent,BoundedGreedyAgent,1
30,30,42,34,0,4,58,BoundedGreedyAgent,HeuristicAgent,0
31,31,28,34,1,3,40,HeuristicAgent,BoundedGreedyAgent,1
32,32,53,54,1,5,67,BoundedGreedyAgent,HeuristicAgent,0
33,33,36,56,1,4,52,HeuristicAgent,BoundedGreedyAgent,1
34,34,39,39,tie,4,51,BoundedGreedyAgent,HeuristicAgent,0
35,35,51,47,0,5,72,HeuristicAgent,BoundedGreedyAgent,1
36,36,62,43,0,5,62,BoundedGreedyAgent,HeuristicAgent,0
37,37,24,50,1,3,32,HeuristicAgent,BoundedGreedyAgent,1
38,38,50,29,0,4,42,BoundedGreedyAgent,HeuristicAgent,0
39,39,37,53,1,4,50,HeuristicAgent,BoundedGreedyAgent,1
40,40,75,44,0,5,67,BoundedGreedyAgent,HeuristicAgent,0
41,41,50,76,1,6,79,HeuristicAgent,BoundedGreedyAgent,1
42,42,77,46,0,6,71,BoundedGreedyAgent,HeuristicAgent,0
43,43,46,66,1,5,61,HeuristicAgent,BoundedGreedyAgent,1
44,44,77,41,0,5,66,BoundedGreedyAgent,HeuristicAgent,0
45,45,51,55,1,5,63,HeuristicAgent,BoundedGreedyAgent,1
46,46,49,40,0,4,52,BoundedGreedyAgent,HeuristicAgent,0
47,47,44,88,1,6,77,HeuristicAgent,BoundedGreedyAgent,1
48,48,61,47,0,5,62,BoundedGreedyAgent,HeuristicAgent,0
49,49,33,52,1,5,62,HeuristicAgent,BoundedGreedyAgent,1
50,50,61,51,0,5,71,BoundedGreedyAgent,HeuristicAgent,0
51,51,44,63,1,5,54,HeuristicAgent,BoundedGreedyAgent,1
52,52,75,58,0,6,73,BoundedGreedyAgent,HeuristicAgent,0
53,53,66,66,tie,7,100,HeuristicAgent,BoundedGreedyAgent,1
54,54,30,32,1,3,40,BoundedGreedyAgent,HeuristicAgent,0
55,55,31,47,1,3,43,HeuristicAgent,BoundedGreedyAgent,1
56,56,68,52,0,5,66,BoundedGreedyAgent,HeuristicAgent,0
57,57,46,43,0,5,74,HeuristicAgent,BoundedGreedyAgent,1
58,58,50,38,0,4,50,BoundedGreedyAgent,HeuristicAgent,0
59,59,48,65,1,6,78,HeuristicAgent,BoundedGreedyAgent,1
60,60,42,46,1,4,54,BoundedGreedyAgent,HeuristicAgent,0
61,61,44,45,1,4,62,HeuristicAgent,BoundedGreedyAgent,1
62,62,47,59,1,6,78,BoundedGreedyAgent,HeuristicAgent,0
63,63,43,77,1,6,93,HeuristicAgent,BoundedGreedyAgent,1
64,64,63,56,0,5,72,BoundedGreedyAgent,HeuristicAgent,0
65,65,37,57,1,5,75,HeuristicAgent,BoundedGreedyAgent,1
66,66,51,40,0,5,64,BoundedGreedyAgent,HeuristicAgent,0
67,67,41,46,1,4,52,HeuristicAgent,BoundedGreedyAgent,1
68,68,56,52,0,6,82,BoundedGreedyAgent,HeuristicAgent,0
69,69,48,66,1,5,66,HeuristicAgent,BoundedGreedyAgent,1
70,70,54,39,0,4,53,BoundedGreedyAgent,HeuristicAgent,0
71,71,30,61,1,4,52,HeuristicAgent,BoundedGreedyAgent,1
72,72,29,32,1,3,48,BoundedGreedyAgent,HeuristicAgent,0
73,73,52,68,1,6,67,HeuristicAgent,BoundedGreedyAgent,1
74,74,74,44,0,5,65,BoundedGreedyAgent,HeuristicAgent,0
75,75,41,41,tie,5,78,HeuristicAgent,BoundedGreedyAgent,1
76,76,75,46,0,6,78,BoundedGreedyAgent,HeuristicAgent,0
77,77,46,75,1,6,90,HeuristicAgent,BoundedGreedyAgent,1
78,78,81,53,0,6,70,BoundedGreedyAgent,HeuristicAgent,0
79,79,48,60,1,5,70,HeuristicAgent,BoundedGreedyAgent,1
80,80,57,58,1,5,78,BoundedGreedyAgent,HeuristicAgent,0
81,81,34,38,1,5,58,HeuristicAgent,BoundedGreedyAgent,1
82,82,67,53,0,5,62,BoundedGreedyAgent,HeuristicAgent,0
83,83,48,49,1,5,53,HeuristicAgent,BoundedGreedyAgent,1
84,84,68,35,0,5,64,BoundedGreedyAgent,HeuristicAgent,0
85,85,22,39,1,3,33,HeuristicAgent,BoundedGreedyAgent,1
86,86,47,39,0,4,54,BoundedGreedyAgent,HeuristicAgent,0
87,87,32,57,1,4,61,HeuristicAgent,BoundedGreedyAgent,1
88,88,49,38,0,5,61,BoundedGreedyAgent,HeuristicAgent,0
89,89,52,75,1,6,71,HeuristicAgent,BoundedGreedyAgent,1
90,90,85,59,0,7,83,BoundedGreedyAgent,HeuristicAgent,0
