game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
0,0,14,24,19,17,1,4,54,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
1,1,25,31,18,18,1,4,55,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
2,2,14,15,9,15,tie,3,49,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
3,3,18,16,12,17,0,3,42,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
4,4,21,19,19,17,0,4,62,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
5,5,27,16,23,25,0,4,60,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
6,6,25,24,31,21,2,5,69,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
7,7,24,21,21,34,3,4,53,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
8,8,41,19,19,22,0,4,54,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
9,9,15,31,13,11,1,4,56,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
10,10,27,23,21,22,0,6,95,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
11,11,18,12,14,27,3,5,65,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
12,12,36,21,17,13,0,4,74,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
13,13,22,36,16,17,1,5,66,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
14,14,23,21,30,17,2,4,54,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
15,15,18,18,19,42,3,4,59,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
16,16,40,23,25,33,0,5,76,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
17,17,22,27,19,28,3,4,63,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
18,18,34,25,18,19,0,5,63,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
19,19,24,19,16,43,3,4,59,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
20,20,45,22,26,25,0,5,75,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
21,21,20,24,20,11,1,4,53,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
22,22,18,15,18,19,3,4,42,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
23,23,26,25,23,40,3,5,78,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
24,24,27,16,16,19,0,3,34,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
25,25,18,30,26,16,1,5,79,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
26,26,21,27,31,22,2,4,54,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
27,27,11,11,12,15,3,3,34,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
28,28,36,17,18,20,0,4,59,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
29,29,17,25,18,17,1,4,72,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,1
30,30,22,20,28,23,2,4,58,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,2
31,31,19,20,18,16,1,3,47,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,3
