game_index,seed,score_0,score_1,score_2,score_3,score_4,score_5,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,agent_seat_4,agent_seat_5,focal_seat
0,0,27,24,15,20,20,13,0,5,71,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
1,1,14,30,14,16,15,15,1,4,58,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
2,2,8,8,1,12,19,13,4,3,48,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
3,3,16,11,9,18,7,11,3,3,43,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,3
4,4,17,15,14,15,6,11,0,4,64,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,4
5,5,18,12,15,11,14,12,0,3,44,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,5
6,6,22,13,15,21,19,16,0,5,70,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
7,7,16,18,20,13,15,16,2,4,52,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
8,8,11,15,11,7,10,6,1,3,58,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
9,9,13,6,8,13,11,10,tie,4,57,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,HeuristicAgent,3
10,10,17,15,24,16,33,10,4,5,72,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,HeuristicAgent,4
11,11,14,10,8,15,13,26,5,5,73,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,BoundedGreedyAgent,5
