game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
0,0,36,24,0,6,122,ConservativeAgent,RandomAgent,0
1,1,9,73,1,5,106,RandomAgent,ConservativeAgent,1
2,2,44,22,0,5,98,ConservativeAgent,RandomAgent,0
3,3,0,86,1,5,111,RandomAgent,ConservativeAgent,1
4,4,66,12,0,6,135,ConservativeAgent,RandomAgent,0
5,5,11,91,1,6,116,RandomAgent,ConservativeAgent,1
6,6,71,26,0,6,119,ConservativeAgent,RandomAgent,0
7,7,25,70,1,6,128,RandomAgent,ConservativeAgent,1
8,8,79,0,0,5,99,ConservativeAgent,RandomAgent,0
9,9,8,52,1,5,121,RandomAgent,ConservativeAgent,1
10,10,62,43,0,7,157,ConservativeAgent,RandomAgent,0
11,11,8,63,1,5,101,RandomAgent,ConservativeAgent,1
12,12,82,15,0,5,113,ConservativeAgent,RandomAgent,0
13,13,17,57,1,4,84,RandomAgent,ConservativeAgent,1
14,14,60,7,0,5,94,ConservativeAgent,RandomAgent,0
15,15,12,85,1,6,121,RandomAgent,ConservativeAgent,1
16,16,76,6,0,5,109,ConservativeAgent,RandomAgent,0
17,17,24,73,1,7,150,RandomAgent,ConservativeAgent,1
18,18,57,9,0,5,98,ConservativeAgent,RandomAgent,0
19,19,18,69,1,5,102,RandomAgent,ConservativeAgent,1
20,20,99,5,0,8,152,ConservativeAgent,RandomAgent,0
21,21,0,65,1,5,110,RandomAgent,ConservativeAgent,1
22,22,47,11,0,4,81,ConservativeAgent,RandomAgent,0
23,23,21,57,1,5,104,RandomAgent,ConservativeAgent,1
24,24,67,12,0,5,97,ConservativeAgent,RandomAgent,0
25,25,20,69,1,6,118,RandomAgent,ConservativeAgent,1
26,26,31,20,0,5,108,ConservativeAgent,RandomAgent,0
27,27,0,38,1,3,62,RandomAgent,ConservativeAgent,1
28,28,60,4,0,5,86,ConservativeAgent,RandomAgent,0
