game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,focal_seat
0,0,49,42,0,5,70,GreedyAgent,HeuristicAgent,0
1,1,48,71,1,6,75,HeuristicAgent,GreedyAgent,1
2,2,24,41,1,4,48,GreedyAgent,HeuristicAgent,0
3,3,44,56,1,4,49,HeuristicAgent,GreedyAgent,1
4,4,61,54,0,5,74,GreedyAgent,HeuristicAgent,0
5,5,52,62,1,5,65,HeuristicAgent,GreedyAgent,1
6,6,58,52,0,5,72,GreedyAgent,HeuristicAgent,0
7,7,43,64,1,5,78,HeuristicAgent,GreedyAgent,1
8,8,55,44,0,5,63,GreedyAgent,HeuristicAgent,0
9,9,35,52,1,4,56,HeuristicAgent,GreedyAgent,1
10,10,63,66,1,6,88,GreedyAgent,HeuristicAgent,0
11,11,35,44,1,4,57,HeuristicAgent,GreedyAgent,1
12,12,52,50,0,5,60,GreedyAgent,HeuristicAgent,0
13,13,46,48,1,4,56,HeuristicAgent,GreedyAgent,1
14,14,41,49,1,4,54,GreedyAgent,HeuristicAgent,0
15,15,44,60,1,5,75,HeuristicAgent,GreedyAgent,1
16,16,54,43,0,5,65,GreedyAgent,HeuristicAgent,0
17,17,62,49,0,6,79,HeuristicAgent,GreedyAgent,1
18,18,62,48,0,5,59,GreedyAgent,HeuristicAgent,0
19,19,63,55,0,6,81,HeuristicAgent,GreedyAgent,1
20,20,58,52,0,7,77,GreedyAgent,HeuristicAgent,0
21,21,39,47,1,4,57,HeuristicAgent,GreedyAgent,1
22,22,48,40,0,4,41,GreedyAgent,HeuristicAgent,0
23,23,32,51,1,5,63,HeuristicAgent,GreedyAgent,1
24,24,51,53,1,5,64,GreedyAgent,HeuristicAgent,0
25,25,47,54,1,6,76,HeuristicAgent,GreedyAgent,1
26,26,48,42,0,4,56,GreedyAgent,HeuristicAgent,0
27,27,42,40,0,4,50,HeuristicAgent,GreedyAgent,1
28,28,56,52,0,5,61,GreedyAgent,HeuristicAgent,0
29,29,45,58,1,5,77,HeuristicAgent,GreedyAgent,1
30,30,48,34,0,4,61,GreedyAgent,HeuristicAgent,0
31,31,25,46,1,3,41,HeuristicAgent,GreedyAgent,1
32,32,55,50,0,5,70,GreedyAgent,HeuristicAgent,0
33,33,37,43,1,4,54,HeuristicAgent,GreedyAgent,1
