game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
0,0,31,17,15,21,0,4,53,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
1,1,21,37,25,16,1,4,57,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
2,2,18,14,19,18,2,3,51,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
3,3,18,16,13,17,0,3,43,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
4,4,10,21,25,22,2,4,66,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
5,5,24,22,23,20,0,4,60,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
6,6,24,25,35,28,2,5,72,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
7,7,23,27,19,31,3,4,57,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
8,8,40,22,23,23,0,4,58,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
9,9,18,32,9,13,1,4,58,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
10,10,30,19,29,22,0,6,97,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
11,11,19,14,10,27,3,5,70,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
12,12,38,21,19,17,0,4,74,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
13,13,22,39,14,19,1,5,65,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
14,14,27,20,27,19,tie,4,56,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
15,15,22,17,18,36,3,4,61,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
16,16,27,27,32,25,2,5,80,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
17,17,29,22,19,21,0,4,60,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
18,18,32,26,36,21,2,5,68,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
19,19,22,23,17,38,3,4,61,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
20,20,48,24,24,28,0,5,80,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
21,21,17,27,21,12,1,4,54,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
22,22,26,19,26,14,tie,4,45,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
23,23,25,20,18,40,3,5,79,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
24,24,26,19,14,21,0,3,34,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
25,25,18,33,19,19,1,4,64,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
26,26,16,21,21,22,3,4,64,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
27,27,18,11,11,30,3,3,37,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
28,28,33,21,18,20,0,4,58,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
29,29,16,33,18,18,1,4,73,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
30,30,24,19,32,24,2,4,61,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
31,31,17,16,21,33,3,3,51,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
32,32,26,25,24,24,0,4,66,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
33,33,22,33,24,18,1,4,56,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
34,34,20,24,27,26,2,4,58,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
35,35,22,20,26,13,2,4,67,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
36,36,38,20,27,18,0,4,59,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
37,37,16,22,22,15,tie,3,37,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
38,38,19,23,44,21,2,4,52,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
39,39,25,24,22,35,3,5,79,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,3
40,40,47,15,17,21,0,4,62,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
41,41,23,29,32,27,2,5,80,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,1
42,42,17,23,32,19,2,4,49,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,2
