game_index,seed,score_0,score_1,score_2,score_3,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,focal_seat
0,0,35,2,34,0,0,5,106,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
1,1,4,46,30,22,1,5,87,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
2,2,39,14,52,20,2,7,171,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
3,3,10,23,5,52,3,4,90,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
4,4,53,13,7,23,0,6,142,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
5,5,0,42,20,10,1,5,116,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
6,6,12,17,63,17,2,6,139,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
7,7,25,10,10,55,3,6,143,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
8,8,55,1,24,9,0,5,116,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
9,9,30,43,8,4,1,5,115,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
10,10,17,16,52,20,2,6,136,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
11,11,0,10,9,52,3,5,101,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
12,12,56,19,0,22,0,6,137,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
13,13,10,41,6,8,1,4,109,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
14,14,11,7,39,16,2,5,109,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
15,15,5,7,6,52,3,5,130,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
16,16,51,27,4,3,0,6,131,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
17,17,22,52,17,9,1,6,133,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
18,18,13,4,47,7,2,5,109,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
19,19,2,19,9,51,3,5,130,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
20,20,66,8,10,26,0,6,160,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
21,21,13,50,22,13,1,5,120,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
22,22,19,4,37,0,2,4,82,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
23,23,17,5,10,52,3,5,124,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
24,24,35,19,27,5,0,4,87,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
25,25,2,51,23,21,1,6,125,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
26,26,9,11,54,13,2,5,129,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
27,27,4,15,14,39,3,4,93,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
28,28,23,20,3,9,0,4,91,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
29,29,3,56,14,13,1,6,157,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
30,30,23,4,32,19,2,6,144,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
31,31,13,3,8,45,3,3,82,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
32,32,36,0,1,41,3,4,105,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
33,33,18,42,8,13,1,5,123,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
34,34,2,12,35,9,2,4,101,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
35,35,2,0,5,63,3,6,156,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
36,36,31,11,20,14,0,4,103,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
37,37,11,43,12,17,1,3,81,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
38,38,9,15,74,17,2,6,132,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
39,39,0,16,18,58,3,5,136,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
40,40,46,17,0,9,0,5,117,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
41,41,9,51,31,21,1,7,151,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
42,42,24,7,81,21,2,8,173,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
43,43,3,17,26,72,3,6,139,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
44,44,42,12,15,20,0,6,136,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
45,45,16,46,14,13,1,5,123,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
46,46,0,14,69,0,2,6,150,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
47,47,13,5,6,66,3,6,161,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
48,48,75,16,0,14,0,6,161,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
49,49,18,33,17,19,1,5,90,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
50,50,18,5,73,12,2,6,140,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
51,51,12,0,1,62,3,5,114,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
52,52,69,4,8,25,0,6,161,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
53,53,11,70,0,1,1,7,195,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
54,54,19,0,48,7,2,5,122,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
55,55,4,7,5,44,3,3,90,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
56,56,49,1,24,29,0,6,157,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
57,57,6,36,6,10,1,4,89,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
58,58,23,15,34,11,2,5,113,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
59,59,0,9,9,59,3,6,150,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
60,60,69,6,12,9,0,5,125,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
61,61,4,36,31,7,1,5,95,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
62,62,1,20,62,6,2,6,139,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
63,63,8,9,2,81,3,7,178,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
64,64,44,3,23,29,0,6,159,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
65,65,19,38,4,15,1,4,114,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
66,66,14,17,37,10,2,6,114,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
67,67,8,21,12,56,3,6,143,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
68,68,72,10,20,22,0,7,169,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
69,69,20,71,11,0,1,6,139,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
70,70,15,12,40,5,2,4,98,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
71,71,10,11,28,63,3,7,166,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
72,72,43,20,15,7,0,4,93,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
73,73,9,64,15,20,1,7,170,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
74,74,20,5,54,15,2,5,109,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
75,75,1,10,19,47,3,6,113,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
76,76,48,24,18,22,0,7,158,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
77,77,18,67,5,6,1,6,166,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
78,78,24,3,71,4,2,6,149,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
79,79,12,22,18,21,1,4,90,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
80,80,49,20,8,11,0,5,125,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
81,81,10,31,21,25,1,5,137,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
82,82,10,18,61,6,2,5,135,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
83,83,8,3,21,61,3,5,115,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
84,84,51,3,19,5,0,5,119,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,0
85,85,14,64,7,0,1,5,113,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,1
86,86,1,7,62,18,2,5,125,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,2
87,87,6,3,0,61,3,5,124,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,3
