game_index,seed,score_0,score_1,score_2,score_3,score_4,score_5,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,agent_seat_4,agent_seat_5,focal_seat
0,0,17,20,11,13,14,9,1,4,52,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
1,1,14,30,16,14,15,16,1,4,60,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
2,2,10,11,8,9,14,14,tie,3,53,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
3,3,16,12,9,17,8,11,3,3,44,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
4,4,17,17,14,13,4,13,tie,4,66,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
5,5,18,11,16,12,15,25,5,3,48,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
6,6,27,13,15,21,21,15,0,5,71,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
7,7,24,31,22,18,20,25,1,6,87,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
8,8,21,22,28,14,13,18,2,4,68,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
9,9,11,9,6,27,11,10,3,4,59,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
10,10,26,16,18,13,28,13,4,5,75,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
11,11,16,12,12,10,7,30,5,5,67,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
12,12,24,11,11,9,11,16,0,5,78,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
13,13,15,21,16,15,13,11,1,4,55,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
14,14,13,11,26,9,12,9,2,3,40,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
15,15,12,10,19,31,16,11,3,4,62,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
16,16,23,20,22,20,23,19,tie,5,76,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
17,17,20,13,12,18,10,30,5,4,58,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
18,18,26,15,17,19,20,20,0,5,71,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
19,19,18,27,11,15,12,15,1,4,61,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
20,20,20,20,29,20,16,18,2,5,80,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
21,21,12,11,21,18,11,12,2,4,57,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
22,22,14,14,12,14,16,10,4,3,40,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
23,23,17,16,12,15,13,24,5,4,75,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
24,24,20,13,18,14,12,9,0,3,40,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
25,25,17,23,14,13,14,15,1,4,67,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
26,26,16,12,13,16,12,15,tie,4,64,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
27,27,10,12,7,22,10,7,3,3,38,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
28,28,16,25,19,17,16,10,1,4,62,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
29,29,12,11,15,17,12,27,5,4,76,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
30,30,19,16,12,19,12,13,tie,4,71,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
31,31,13,32,16,13,11,10,1,3,51,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
32,32,27,19,24,15,16,10,0,4,63,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
33,33,11,15,12,24,11,11,3,3,44,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
34,34,19,18,18,15,18,17,0,4,63,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
35,35,16,16,18,14,20,13,4,4,67,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
36,36,25,12,20,17,10,11,0,4,52,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
37,37,8,26,9,8,10,9,1,2,27,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
38,38,12,14,35,14,17,16,2,4,53,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
39,39,18,19,15,19,21,20,4,4,69,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
40,40,12,19,15,11,40,11,4,4,66,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
41,41,19,18,17,14,18,33,5,5,74,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
42,42,40,17,14,22,18,13,0,5,71,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
43,43,23,33,21,17,16,23,1,5,76,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
44,44,16,13,27,15,13,15,2,4,64,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
45,45,16,14,10,18,17,12,3,3,50,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
46,46,17,13,16,13,22,12,4,4,58,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
47,47,21,18,23,18,17,37,5,5,85,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
48,48,33,20,19,17,12,16,0,5,76,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
49,49,17,33,18,16,18,18,1,5,78,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
50,50,25,19,29,15,21,24,2,6,87,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
51,51,23,21,16,25,16,22,3,5,73,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
52,52,16,20,15,16,25,14,4,4,69,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
53,53,21,15,13,19,21,31,5,4,65,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
54,54,31,15,12,13,12,10,0,3,45,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
55,55,13,11,10,8,12,9,0,2,30,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
56,56,18,23,14,16,12,11,1,4,61,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
57,57,13,15,11,27,12,14,3,4,63,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
58,58,15,22,16,14,18,15,1,4,61,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
59,59,14,13,20,18,17,37,5,5,80,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,5
60,60,17,17,19,18,13,11,2,4,64,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,0
61,61,21,21,17,13,14,10,tie,4,66,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,1
62,62,15,15,37,11,19,15,2,5,85,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,2
63,63,17,20,15,29,17,14,3,5,84,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,HeuristicAgent,3
64,64,16,13,11,21,28,16,4,4,61,HeuristicAgent,HeuristicAgent,HeuristicAgent,HeuristicAgent,GreedyAgent,HeuristicAgent,4
