game_index,seed,score_0,score_1,score_2,score_3,score_4,score_5,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,agent_seat_2,agent_seat_3,agent_seat_4,agent_seat_5,focal_seat
0,0,38,0,15,2,0,30,0,5,135,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,0
1,1,0,69,10,15,3,14,1,6,167,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,1
2,2,1,11,27,10,13,15,2,5,129,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,2
3,3,1,18,5,58,15,0,3,5,143,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,3
4,4,20,10,4,7,48,11,4,6,172,RandomAgent,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,4
5,5,14,11,0,9,9,26,5,4,120,RandomAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,5
6,6,45,7,6,2,12,16,0,5,144,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,0
7,7,17,52,10,19,10,12,1,6,160,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,1
8,8,4,0,42,8,9,7,2,5,140,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,2
9,9,13,18,14,26,0,3,3,5,152,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,3
10,10,15,9,23,9,51,7,4,8,213,RandomAgent,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,4
11,11,4,10,1,21,3,30,5,5,141,RandomAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,5
12,12,42,3,16,3,34,0,0,6,170,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,0
13,13,12,37,0,10,8,13,1,4,126,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,1
14,14,16,9,28,5,14,2,2,4,95,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,2
15,15,0,0,15,62,9,18,3,6,139,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,3
16,16,16,13,3,10,60,18,4,7,214,RandomAgent,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,4
17,17,10,11,12,9,8,52,5,7,196,RandomAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,5
18,18,46,6,18,4,2,13,0,5,157,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,0
19,19,18,31,11,16,1,5,1,5,149,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,1
20,20,16,5,63,3,8,20,2,8,208,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,2
21,21,8,4,10,35,12,3,3,4,115,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,3
22,22,1,11,15,5,34,2,4,4,92,RandomAgent,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,4
23,23,14,12,17,5,13,32,5,5,141,RandomAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,5
24,24,31,10,12,8,10,5,0,4,115,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,0
25,25,12,40,2,3,13,6,1,6,150,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,RandomAgent,1
26,26,16,4,30,7,18,13,2,4,118,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,RandomAgent,2
27,27,30,0,10,35,3,31,3,6,163,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,RandomAgent,3
28,28,6,14,3,3,24,9,4,4,128,RandomAgent,RandomAgent,RandomAgent,RandomAgent,GreedyAgent,RandomAgent,4
