game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
0,0,59,39,0,5,73,GreedyAgent,ConservativeAgent,0
1,1,74,60,0,6,84,ConservativeAgent,GreedyAgent,1
2,2,37,33,0,5,85,GreedyAgent,ConservativeAgent,0
3,3,68,72,1,6,81,ConservativeAgent,GreedyAgent,1
4,4,69,18,0,5,77,GreedyAgent,ConservativeAgent,0
5,5,51,63,1,5,68,ConservativeAgent,GreedyAgent,1
6,6,86,50,0,6,93,GreedyAgent,ConservativeAgent,0
7,7,58,74,1,6,89,ConservativeAgent,GreedyAgent,1
8,8,58,42,0,5,77,GreedyAgent,ConservativeAgent,0
9,9,81,52,0,6,85,ConservativeAgent,GreedyAgent,1
10,10,84,74,0,8,117,GreedyAgent,ConservativeAgent,0
11,11,41,49,1,4,64,ConservativeAgent,GreedyAgent,1
12,12,66,70,1,6,81,GreedyAgent,ConservativeAgent,0
13,13,53,62,1,5,70,ConservativeAgent,GreedyAgent,1
14,14,50,48,0,5,69,GreedyAgent,ConservativeAgent,0
15,15,56,61,1,6,90,ConservativeAgent,GreedyAgent,1
16,16,60,48,0,5,83,GreedyAgent,ConservativeAgent,0
17,17,72,70,0,7,108,ConservativeAgent,GreedyAgent,1
18,18,62,45,0,5,73,GreedyAgent,ConservativeAgent,0
19,19,55,64,1,5,72,ConservativeAgent,GreedyAgent,1
20,20,74,57,0,6,86,GreedyAgent,ConservativeAgent,0
21,21,43,38,0,4,56,ConservativeAgent,GreedyAgent,1
22,22,51,42,0,4,53,GreedyAgent,ConservativeAgent,0
23,23,41,55,1,5,82,ConservativeAgent,GreedyAgent,1
24,24,46,51,1,5,73,GreedyAgent,ConservativeAgent,0
25,25,74,62,0,7,94,ConservativeAgent,GreedyAgent,1
26,26,64,50,0,5,73,GreedyAgent,ConservativeAgent,0
27,27,32,46,1,3,45,ConservativeAgent,GreedyAgent,1
28,28,62,48,0,5,65,GreedyAgent,ConservativeAgent,0
29,29,40,60,1,5,84,ConservativeAgent,GreedyAgent,1
30,30,54,25,0,4,69,GreedyAgent,ConservativeAgent,0
31,31,73,68,0,6,84,ConservativeAgent,GreedyAgent,1
32,32,56,45,0,5,75,GreedyAgent,ConservativeAgent,0
33,33,40,50,1,4,60,ConservativeAgent,GreedyAgent,1
34,34,53,38,0,4,61,GreedyAgent,ConservativeAgent,0
35,35,36,54,1,5,80,ConservativeAgent,GreedyAgent,1
36,36,73,43,0,5,77,GreedyAgent,ConservativeAgent,0
37,37,38,44,1,3,38,ConservativeAgent,GreedyAgent,1
38,38,59,59,tie,5,69,GreedyAgent,ConservativeAgent,0
39,39,43,51,1,5,74,ConservativeAgent,GreedyAgent,1
40,40,68,53,0,5,69,GreedyAgent,ConservativeAgent,0
