game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
0,0,42,49,1,4,55,GreedyAgent,GreedyAgent,0
1,1,73,69,0,6,80,GreedyAgent,GreedyAgent,1
2,2,62,45,0,7,103,GreedyAgent,GreedyAgent,0
3,3,73,73,tie,6,73,GreedyAgent,GreedyAgent,1
4,4,63,58,0,6,81,GreedyAgent,GreedyAgent,0
5,5,58,86,1,6,79,GreedyAgent,GreedyAgent,1
6,6,73,66,0,6,77,GreedyAgent,GreedyAgent,0
7,7,58,72,1,6,81,GreedyAgent,GreedyAgent,1
8,8,51,59,1,4,54,GreedyAgent,GreedyAgent,0
9,9,77,73,0,6,85,GreedyAgent,GreedyAgent,1
10,10,83,91,1,8,119,GreedyAgent,GreedyAgent,0
11,11,51,46,0,5,64,GreedyAgent,GreedyAgent,1
12,12,73,66,0,6,74,GreedyAgent,GreedyAgent,0
13,13,62,62,tie,5,69,GreedyAgent,GreedyAgent,1
14,14,46,48,1,5,65,GreedyAgent,GreedyAgent,0
15,15,65,63,0,6,77,GreedyAgent,GreedyAgent,1
16,16,83,59,0,7,99,GreedyAgent,GreedyAgent,0
17,17,61,68,1,7,97,GreedyAgent,GreedyAgent,1
18,18,60,59,0,5,59,GreedyAgent,GreedyAgent,0
19,19,57,64,1,5,72,GreedyAgent,GreedyAgent,1
20,20,64,72,1,6,77,GreedyAgent,GreedyAgent,0
21,21,42,48,1,4,59,GreedyAgent,GreedyAgent,1
22,22,43,56,1,5,62,GreedyAgent,GreedyAgent,0
23,23,51,56,1,5,79,GreedyAgent,GreedyAgent,1
24,24,48,48,tie,5,64,GreedyAgent,GreedyAgent,0
25,25,55,55,tie,6,70,GreedyAgent,GreedyAgent,1
26,26,50,41,0,5,67,GreedyAgent,GreedyAgent,0
27,27,40,44,1,3,42,GreedyAgent,GreedyAgent,1
28,28,52,60,1,4,56,GreedyAgent,GreedyAgent,0
29,29,46,55,1,5,74,GreedyAgent,GreedyAgent,1
30,30,71,83,1,6,87,GreedyAgent,GreedyAgent,0
31,31,68,55,0,5,60,GreedyAgent,GreedyAgent,1
32,32,51,61,1,5,66,GreedyAgent,GreedyAgent,0
33,33,44,56,1,4,60,GreedyAgent,GreedyAgent,1
34,34,50,50,tie,4,52,GreedyAgent,GreedyAgent,0
35,35,68,39,0,5,82,GreedyAgent,GreedyAgent,1
36,36,65,76,1,7,88,GreedyAgent,GreedyAgent,0
37,37,47,41,0,3,40,GreedyAgent,GreedyAgent,1
38,38,60,66,1,5,58,GreedyAgent,GreedyAgent,0
39,39,57,47,0,5,70,GreedyAgent,GreedyAgent,1
40,40,66,62,0,5,62,GreedyAgent,GreedyAgent,0
41,41,56,67,1,6,82,GreedyAgent,GreedyAgent,1
42,42,88,57,0,7,95,GreedyAgent,GreedyAgent,0
43,43,58,66,1,6,78,GreedyAgent,GreedyAgent,1
44,44,75,65,0,6,78,GreedyAgent,GreedyAgent,0
45,45,53,58,1,5,67,GreedyAgent,GreedyAgent,1
46,46,54,45,0,4,52,GreedyAgent,GreedyAgent,0
47,47,64,56,0,6,82,GreedyAgent,GreedyAgent,1
48,48,73,71,0,6,87,GreedyAgent,GreedyAgent,0
49,49,49,38,0,6,78,GreedyAgent,GreedyAgent,1
50,50,56,75,1,6,76,GreedyAgent,GreedyAgent,0
51,51,76,73,0,7,90,GreedyAgent,GreedyAgent,1
52,52,71,60,0,6,78,GreedyAgent,GreedyAgent,0
53,53,76,85,1,8,114,GreedyAgent,GreedyAgent,1
54,54,44,46,1,3,45,GreedyAgent,GreedyAgent,0
