game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
0,0,46,5,0,4,83,GreedyAgent,RandomAgent,0
1,1,14,50,1,4,78,RandomAgent,GreedyAgent,1
2,2,49,10,0,5,96,GreedyAgent,RandomAgent,0
3,3,7,96,1,5,93,RandomAgent,GreedyAgent,1
4,4,80,7,0,5,95,GreedyAgent,RandomAgent,0
5,5,26,64,1,5,84,RandomAgent,GreedyAgent,1
6,6,90,16,0,6,102,GreedyAgent,RandomAgent,0
7,7,23,76,1,6,103,RandomAgent,GreedyAgent,1
8,8,101,0,0,6,117,GreedyAgent,RandomAgent,0
9,9,26,50,1,4,68,RandomAgent,GreedyAgent,1
10,10,90,16,0,7,126,GreedyAgent,RandomAgent,0
11,11,12,86,1,5,96,RandomAgent,GreedyAgent,1
12,12,100,19,0,6,107,GreedyAgent,RandomAgent,0
13,13,13,92,1,5,100,RandomAgent,GreedyAgent,1
14,14,97,4,0,5,99,GreedyAgent,RandomAgent,0
15,15,10,97,1,6,96,RandomAgent,GreedyAgent,1
16,16,91,23,0,7,133,GreedyAgent,RandomAgent,0
17,17,25,50,1,6,95,RandomAgent,GreedyAgent,1
18,18,79,6,0,5,87,GreedyAgent,RandomAgent,0
19,19,14,72,1,5,94,RandomAgent,GreedyAgent,1
20,20,106,0,0,6,118,GreedyAgent,RandomAgent,0
21,21,0,66,1,4,86,RandomAgent,GreedyAgent,1
22,22,69,5,0,4,71,GreedyAgent,RandomAgent,0
23,23,15,58,1,5,85,RandomAgent,GreedyAgent,1
24,24,80,6,0,5,85,GreedyAgent,RandomAgent,0
25,25,8,76,1,6,95,RandomAgent,GreedyAgent,1
26,26,68,5,0,4,87,GreedyAgent,RandomAgent,0
27,27,14,83,1,5,97,RandomAgent,GreedyAgent,1
28,28,65,4,0,5,82,GreedyAgent,RandomAgent,0
29,29,15,89,1,6,116,RandomAgent,GreedyAgent,1
30,30,52,27,0,4,81,GreedyAgent,RandomAgent,0
31,31,8,59,1,3,62,RandomAgent,GreedyAgent,1
32,32,72,29,0,5,82,GreedyAgent,RandomAgent,0
33,33,37,44,1,4,62,RandomAgent,GreedyAgent,1
34,34,62,18,0,4,72,GreedyAgent,RandomAgent,0
35,35,18,59,1,5,99,RandomAgent,GreedyAgent,1
36,36,57,42,0,5,80,GreedyAgent,RandomAgent,0
37,37,7,65,1,3,59,RandomAgent,GreedyAgent,1
38,38,93,10,0,5,79,GreedyAgent,RandomAgent,0
39,39,29,86,1,6,112,RandomAgent,GreedyAgent,1
40,40,86,12,0,5,94,GreedyAgent,RandomAgent,0
41,41,26,69,1,6,110,RandomAgent,GreedyAgent,1
42,42,84,12,0,6,115,GreedyAgent,RandomAgent,0
43,43,19,86,1,6,104,RandomAgent,GreedyAgent,1
44,44,114,0,0,6,113,GreedyAgent,RandomAgent,0
45,45,18,75,1,5,89,RandomAgent,GreedyAgent,1
46,46,63,18,0,4,68,GreedyAgent,RandomAgent,0
47,47,9,90,1,6,114,RandomAgent,GreedyAgent,1
48,48,85,13,0,5,90,GreedyAgent,RandomAgent,0
49,49,2,82,1,5,87,RandomAgent,GreedyAgent,1
50,50,81,7,0,6,100,GreedyAgent,RandomAgent,0
51,51,6,94,1,5,89,RandomAgent,GreedyAgent,1
52,52,89,21,0,6,98,GreedyAgent,RandomAgent,0
53,53,27,80,1,6,116,RandomAgent,GreedyAgent,1
54,54,59,27,0,4,77,GreedyAgent,RandomAgent,0
55,55,12,56,1,3,65,RandomAgent,GreedyAgent,1
56,56,78,25,0,5,97,GreedyAgent,RandomAgent,0
57,57,31,67,1,6,100,RandomAgent,GreedyAgent,1
58,58,56,26,0,4,79,GreedyAgent,RandomAgent,0
59,59,21,73,1,6,117,RandomAgent,GreedyAgent,1
60,60,72,11,0,5,88,GreedyAgent,RandomAgent,0
61,61,19,80,1,6,95,RandomAgent,GreedyAgent,1
62,62,70,16,0,5,99,GreedyAgent,RandomAgent,0
63,63,36,83,1,7,127,RandomAgent,GreedyAgent,1
64,64,88,20,0,5,89,GreedyAgent,RandomAgent,0
65,65,0,72,1,5,94,RandomAgent,GreedyAgent,1
66,66,70,16,0,5,97,GreedyAgent,RandomAgent,0
67,67,6,84,1,5,98,RandomAgent,GreedyAgent,1
68,68,99,11,0,6,123,GreedyAgent,RandomAgent,0
69,69,20,78,1,6,106,RandomAgent,GreedyAgent,1
70,70,52,27,0,4,76,GreedyAgent,RandomAgent,0
71,71,7,113,1,7,137,RandomAgent,GreedyAgent,1
72,72,38,26,0,3,65,GreedyAgent,RandomAgent,0
73,73,22,104,1,7,121,RandomAgent,GreedyAgent,1
74,74,55,26,0,4,68,GreedyAgent,RandomAgent,0
75,75,12,84,1,7,131,RandomAgent,GreedyAgent,1
76,76,93,17,0,7,116,GreedyAgent,RandomAgent,0
77,77,5,111,1,7,124,RandomAgent,GreedyAgent,1
78,78,99,21,0,6,110,GreedyAgent,RandomAgent,0
79,79,13,60,1,4,68,RandomAgent,GreedyAgent,1
80,80,67,18,0,6,114,GreedyAgent,RandomAgent,0
81,81,4,84,1,6,112,RandomAgent,GreedyAgent,1
82,82,81,25,0,5,94,GreedyAgent,RandomAgent,0
83,83,11,90,1,5,89,RandomAgent,GreedyAgent,1
84,84,92,5,0,5,93,GreedyAgent,RandomAgent,0
85,85,24,74,1,5,85,RandomAgent,GreedyAgent,1
86,86,96,5,0,7,117,GreedyAgent,RandomAgent,0
87,87,17,73,1,5,82,RandomAgent,GreedyAgent,1
88,88,93,12,0,7,127,GreedyAgent,RandomAgent,0
89,89,0,95,1,6,99,RandomAgent,GreedyAgent,1
90,90,99,24,0,7,116,GreedyAgent,RandomAgent,0
91,91,10,95,1,6,101,RandomAgent,GreedyAgent,1
92,92,75,16,0,5,93,GreedyAgent,RandomAgent,0
93,93,17,99,1,5,104,RandomAgent,GreedyAgent,1
94,94,74,0,0,5,91,GreedyAgent,RandomAgent,0
95,95,13,91,1,5,100,RandomAgent,GreedyAgent,1
96,96,60,3,0,4,60,GreedyAgent,RandomAgent,0
97,97,18,74,1,5,104,RandomAgent,GreedyAgent,1
98,98,51,28,0,4,80,GreedyAgent,RandomAgent,0
99,99,0,60,1,4,78,RandomAgent,GreedyAgent,1
100,100,85,20,0,6,110,GreedyAgent,RandomAgent,0
101,101,15,73,1,5,98,RandomAgent,GreedyAgent,1
102,102,70,22,0,4,68,GreedyAgent,RandomAgent,0
103,103,13,63,1,4,74,RandomAgent,GreedyAgent,1
104,104,40,30,0,4,70,GreedyAgent,RandomAgent,0
105,105,7,57,1,3,68,RandomAgent,GreedyAgent,1
106,106,67,25,0,5,99,GreedyAgent,RandomAgent,0
107,107,20,33,1,3,43,RandomAgent,GreedyAgent,1
108,108,88,13,0,5,97,GreedyAgent,RandomAgent,0
109,109,18,53,1,4,65,RandomAgent,GreedyAgent,1
110,110,51,34,0,5,100,GreedyAgent,RandomAgent,0
111,111,29,77,1,6,104,RandomAgent,GreedyAgent,1
112,112,87,7,0,6,100,GreedyAgent,RandomAgent,0
113,113,23,73,1,5,106,RandomAgent,GreedyAgent,1
114,114,91,20,0,7,120,GreedyAgent,RandomAgent,0
115,115,6,61,1,4,67,RandomAgent,GreedyAgent,1
116,116,64,16,0,5,99,GreedyAgent,RandomAgent,0
117,117,6,85,1,6,96,RandomAgent,GreedyAgent,1
118,118,79,6,0,5,99,GreedyAgent,RandomAgent,0
119,119,0,111,1,6,128,RandomAgent,GreedyAgent,1
120,120,103,33,0,8,145,GreedyAgent,RandomAgent,0
121,121,32,86,1,6,108,RandomAgent,GreedyAgent,1
122,122,75,23,0,5,94,GreedyAgent,RandomAgent,0
123,123,3,73,1,5,96,RandomAgent,GreedyAgent,1
124,124,68,3,0,4,88,GreedyAgent,RandomAgent,0
125,125,8,83,1,5,94,RandomAgent,GreedyAgent,1
126,126,64,32,0,5,97,GreedyAgent,RandomAgent,0
127,127,21,88,1,6,101,RandomAgent,GreedyAgent,1
128,128,74,24,0,6,112,GreedyAgent,RandomAgent,0
129,129,27,67,1,6,115,RandomAgent,GreedyAgent,1
130,130,48,28,0,6,108,GreedyAgent,RandomAgent,0
131,131,32,61,1,4,68,RandomAgent,GreedyAgent,1
132,132,80,16,0,5,87,GreedyAgent,RandomAgent,0
133,133,12,90,1,6,110,RandomAgent,GreedyAgent,1
134,134,67,0,0,4,73,GreedyAgent,RandomAgent,0
135,135,31,52,1,5,88,RandomAgent,GreedyAgent,1
136,136,43,30,0,4,71,GreedyAgent,RandomAgent,0
137,137,7,65,1,6,102,RandomAgent,GreedyAgent,1
138,138,67,6,0,5,86,GreedyAgent,RandomAgent,0
139,139,17,67,1,5,93,RandomAgent,GreedyAgent,1
140,140,32,12,0,4,65,GreedyAgent,RandomAgent,0
141,141,10,87,1,7,130,RandomAgent,GreedyAgent,1
142,142,68,13,0,5,84,GreedyAgent,RandomAgent,0
143,143,17,106,1,7,120,RandomAgent,GreedyAgent,1
144,144,71,26,0,6,107,GreedyAgent,RandomAgent,0
145,145,39,94,1,8,136,RandomAgent,GreedyAgent,1
146,146,100,37,0,8,142,GreedyAgent,RandomAgent,0
147,147,10,71,1,5,107,RandomAgent,GreedyAgent,1
148,148,62,11,0,5,76,GreedyAgent,RandomAgent,0
149,149,17,113,1,7,130,RandomAgent,GreedyAgent,1
150,150,91,19,0,6,102,GreedyAgent,RandomAgent,0
151,151,31,58,1,6,96,RandomAgent,GreedyAgent,1
152,152,51,1,0,4,64,GreedyAgent,RandomAgent,0
153,153,8,82,1,5,88,RandomAgent,GreedyAgent,1
154,154,104,21,0,7,127,GreedyAgent,RandomAgent,0
155,155,13,78,1,5,90,RandomAgent,GreedyAgent,1
156,156,91,18,0,6,111,GreedyAgent,RandomAgent,0
157,157,4,90,1,6,104,RandomAgent,GreedyAgent,1
