game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
0,0,65,21,0,5,81,HeuristicAgent,RandomAgent,0
1,1,18,55,1,5,95,RandomAgent,HeuristicAgent,1
2,2,36,35,0,4,59,HeuristicAgent,RandomAgent,0
3,3,11,69,1,4,70,RandomAgent,HeuristicAgent,1
4,4,85,5,0,6,98,HeuristicAgent,RandomAgent,0
5,5,27,72,1,5,80,RandomAgent,HeuristicAgent,1
6,6,58,5,0,5,74,HeuristicAgent,RandomAgent,0
7,7,37,48,1,5,92,RandomAgent,HeuristicAgent,1
8,8,49,17,0,4,61,HeuristicAgent,RandomAgent,0
9,9,18,50,1,4,74,RandomAgent,HeuristicAgent,1
10,10,91,21,0,6,110,HeuristicAgent,RandomAgent,0
11,11,12,53,1,5,86,RandomAgent,HeuristicAgent,1
12,12,51,9,0,4,73,HeuristicAgent,RandomAgent,0
13,13,1,63,1,4,76,RandomAgent,HeuristicAgent,1
14,14,55,21,0,4,55,HeuristicAgent,RandomAgent,0
15,15,17,73,1,7,134,RandomAgent,HeuristicAgent,1
16,16,50,26,0,5,85,HeuristicAgent,RandomAgent,0
17,17,28,25,0,5,82,RandomAgent,HeuristicAgent,1
18,18,67,29,0,5,74,HeuristicAgent,RandomAgent,0
19,19,13,66,1,5,90,RandomAgent,HeuristicAgent,1
20,20,92,10,0,7,131,HeuristicAgent,RandomAgent,0
21,21,4,57,1,4,70,RandomAgent,HeuristicAgent,1
22,22,61,8,0,4,61,HeuristicAgent,RandomAgent,0
23,23,4,74,1,5,105,RandomAgent,HeuristicAgent,1
24,24,47,5,0,4,58,HeuristicAgent,RandomAgent,0
25,25,17,52,1,5,83,RandomAgent,HeuristicAgent,1
26,26,78,22,0,5,97,HeuristicAgent,RandomAgent,0
27,27,8,61,1,4,60,RandomAgent,HeuristicAgent,1
28,28,61,6,0,5,76,HeuristicAgent,RandomAgent,0
29,29,20,52,1,4,76,RandomAgent,HeuristicAgent,1
30,30,45,40,0,5,87,HeuristicAgent,RandomAgent,0
31,31,8,46,1,3,64,RandomAgent,HeuristicAgent,1
32,32,79,14,0,5,88,HeuristicAgent,RandomAgent,0
33,33,29,44,1,4,63,RandomAgent,HeuristicAgent,1
34,34,44,15,0,5,84,HeuristicAgent,RandomAgent,0
35,35,26,49,1,5,82,RandomAgent,HeuristicAgent,1
36,36,53,28,0,4,73,HeuristicAgent,RandomAgent,0
37,37,16,47,1,3,42,RandomAgent,HeuristicAgent,1
38,38,80,6,0,5,79,HeuristicAgent,RandomAgent,0
39,39,18,54,1,4,63,RandomAgent,HeuristicAgent,1
40,40,57,6,0,5,79,HeuristicAgent,RandomAgent,0
41,41,28,67,1,6,104,RandomAgent,HeuristicAgent,1
42,42,42,23,0,5,78,HeuristicAgent,RandomAgent,0
43,43,4,78,1,6,92,RandomAgent,HeuristicAgent,1
44,44,75,4,0,6,94,HeuristicAgent,RandomAgent,0
45,45,0,87,1,6,104,RandomAgent,HeuristicAgent,1
46,46,61,0,0,4,72,HeuristicAgent,RandomAgent,0
47,47,9,73,1,6,96,RandomAgent,HeuristicAgent,1
48,48,73,7,0,5,89,HeuristicAgent,RandomAgent,0
49,49,9,50,1,4,75,RandomAgent,HeuristicAgent,1
50,50,85,16,0,6,118,HeuristicAgent,RandomAgent,0
51,51,8,74,1,5,69,RandomAgent,HeuristicAgent,1
52,52,80,16,0,5,87,HeuristicAgent,RandomAgent,0
53,53,39,82,1,8,157,RandomAgent,HeuristicAgent,1
54,54,39,8,0,3,51,HeuristicAgent,RandomAgent,0
55,55,13,43,1,3,51,RandomAgent,HeuristicAgent,1
56,56,80,15,0,5,90,HeuristicAgent,RandomAgent,0
57,57,31,47,1,4,62,RandomAgent,HeuristicAgent,1
58,58,40,16,0,4,68,HeuristicAgent,RandomAgent,0
59,59,30,37,1,4,84,RandomAgent,HeuristicAgent,1
60,60,46,24,0,4,71,HeuristicAgent,RandomAgent,0
61,61,30,48,1,4,70,RandomAgent,HeuristicAgent,1
62,62,62,23,0,5,85,HeuristicAgent,RandomAgent,0
63,63,29,68,1,6,122,RandomAgent,HeuristicAgent,1
64,64,73,22,0,5,89,HeuristicAgent,RandomAgent,0
65,65,37,50,1,6,130,RandomAgent,HeuristicAgent,1
66,66,57,18,0,5,81,HeuristicAgent,RandomAgent,0
67,67,16,50,1,5,78,RandomAgent,HeuristicAgent,1
68,68,80,17,0,6,113,HeuristicAgent,RandomAgent,0
69,69,28,48,1,4,67,RandomAgent,HeuristicAgent,1
70,70,59,5,0,4,73,HeuristicAgent,RandomAgent,0
71,71,23,41,1,4,70,RandomAgent,HeuristicAgent,1
72,72,35,8,0,3,52,HeuristicAgent,RandomAgent,0
73,73,22,81,1,6,100,RandomAgent,HeuristicAgent,1
74,74,64,9,0,4,71,HeuristicAgent,RandomAgent,0
75,75,33,79,1,7,140,RandomAgent,HeuristicAgent,1
76,76,86,13,0,6,95,HeuristicAgent,RandomAgent,0
77,77,23,70,1,6,104,RandomAgent,HeuristicAgent,1
78,78,60,6,0,4,69,HeuristicAgent,RandomAgent,0
79,79,17,78,1,5,94,RandomAgent,HeuristicAgent,1
80,80,56,12,0,5,103,HeuristicAgent,RandomAgent,0
81,81,20,50,1,5,79,RandomAgent,HeuristicAgent,1
82,82,81,11,0,5,84,HeuristicAgent,RandomAgent,0
83,83,24,74,1,5,75,RandomAgent,HeuristicAgent,1
84,84,60,2,0,5,89,HeuristicAgent,RandomAgent,0
85,85,17,59,1,5,79,RandomAgent,HeuristicAgent,1
86,86,64,35,0,5,93,HeuristicAgent,RandomAgent,0
87,87,20,51,1,4,68,RandomAgent,HeuristicAgent,1
88,88,73,7,0,5,85,HeuristicAgent,RandomAgent,0
89,89,14,48,1,4,67,RandomAgent,HeuristicAgent,1
90,90,78,27,0,6,112,HeuristicAgent,RandomAgent,0
91,91,0,64,1,4,71,RandomAgent,HeuristicAgent,1
92,92,44,31,0,4,66,HeuristicAgent,RandomAgent,0
93,93,3,72,1,5,87,RandomAgent,HeuristicAgent,1
94,94,58,26,0,5,72,HeuristicAgent,RandomAgent,0
95,95,0,69,1,5,83,RandomAgent,HeuristicAgent,1
96,96,48,8,0,3,48,HeuristicAgent,RandomAgent,0
97,97,2,67,1,5,94,RandomAgent,HeuristicAgent,1
98,98,46,14,0,4,85,HeuristicAgent,RandomAgent,0
99,99,6,55,1,4,63,RandomAgent,HeuristicAgent,1
100,100,56,20,0,6,100,HeuristicAgent,RandomAgent,0
101,101,0,58,1,4,68,RandomAgent,HeuristicAgent,1
102,102,65,9,0,4,69,HeuristicAgent,RandomAgent,0
103,103,30,59,1,5,80,RandomAgent,HeuristicAgent,1
104,104,48,20,0,4,66,HeuristicAgent,RandomAgent,0
105,105,7,54,1,3,60,RandomAgent,HeuristicAgent,1
