game_index,seed,score_0,score_1,winner,num_legs,num_turns,agent_seat_0,agent_seat_1,first_player
0,0,32,17,0,5,109,RandomAgent,RandomAgent,0
1,1,32,34,1,6,118,RandomAgent,RandomAgent,1
2,2,36,14,0,5,117,RandomAgent,RandomAgent,0
3,3,24,25,1,4,103,RandomAgent,RandomAgent,1
4,4,40,8,0,5,133,RandomAgent,RandomAgent,0
5,5,47,38,0,6,141,RandomAgent,RandomAgent,1
6,6,41,22,0,6,130,RandomAgent,RandomAgent,0
7,7,37,29,0,6,128,RandomAgent,RandomAgent,1
8,8,23,12,0,4,103,RandomAgent,RandomAgent,0
9,9,28,17,0,5,117,RandomAgent,RandomAgent,1
10,10,40,36,0,8,178,RandomAgent,RandomAgent,0
11,11,23,45,1,5,129,RandomAgent,RandomAgent,1
12,12,30,20,0,6,129,RandomAgent,RandomAgent,0
13,13,28,30,1,5,123,RandomAgent,RandomAgent,1
14,14,31,18,0,5,99,RandomAgent,RandomAgent,0
15,15,28,22,0,6,152,RandomAgent,RandomAgent,1
16,16,44,27,0,7,173,RandomAgent,RandomAgent,0
17,17,54,11,0,5,135,RandomAgent,RandomAgent,1
18,18,46,29,0,5,120,RandomAgent,RandomAgent,0
19,19,46,40,0,6,138,RandomAgent,RandomAgent,1
20,20,33,39,1,7,154,RandomAgent,RandomAgent,0
21,21,37,16,0,5,128,RandomAgent,RandomAgent,1
22,22,21,30,1,4,82,RandomAgent,RandomAgent,0
23,23,43,29,0,5,101,RandomAgent,RandomAgent,1
24,24,12,67,1,8,192,RandomAgent,RandomAgent,0
25,25,24,27,1,6,135,RandomAgent,RandomAgent,1
26,26,14,36,1,5,98,RandomAgent,RandomAgent,0
27,27,27,13,0,5,131,RandomAgent,RandomAgent,1
28,28,42,24,0,5,123,RandomAgent,RandomAgent,0
29,29,26,25,0,5,101,RandomAgent,RandomAgent,1
30,30,28,32,1,6,149,RandomAgent,RandomAgent,0
31,31,14,25,1,3,76,RandomAgent,RandomAgent,1
32,32,43,20,0,6,137,RandomAgent,RandomAgent,0
33,33,40,18,0,4,85,RandomAgent,RandomAgent,1
34,34,43,18,0,5,127,RandomAgent,RandomAgent,0
35,35,30,23,0,7,179,RandomAgent,RandomAgent,1
36,36,35,48,1,6,145,RandomAgent,RandomAgent,0
37,37,18,23,1,3,86,RandomAgent,RandomAgent,1
38,38,26,36,1,5,103,RandomAgent,RandomAgent,0
39,39,35,22,0,5,121,RandomAgent,RandomAgent,1
40,40,40,28,0,6,138,RandomAgent,RandomAgent,0
41,41,65,21,0,6,151,RandomAgent,RandomAgent,1
42,42,46,30,0,7,158,RandomAgent,RandomAgent,0
43,43,41,51,1,7,178,RandomAgent,RandomAgent,1
44,44,38,42,1,7,142,RandomAgent,RandomAgent,0
45,45,39,34,0,6,137,RandomAgent,RandomAgent,1
46,46,37,22,0,5,118,RandomAgent,RandomAgent,0
47,47,28,25,0,7,146,RandomAgent,RandomAgent,1
48,48,14,33,1,4,109,RandomAgent,RandomAgent,0
49,49,26,13,0,5,100,RandomAgent,RandomAgent,1
50,50,47,45,0,7,155,RandomAgent,RandomAgent,0
51,51,41,0,0,5,128,RandomAgent,RandomAgent,1
52,52,32,24,0,6,145,RandomAgent,RandomAgent,0
53,53,10,56,1,6,153,RandomAgent,RandomAgent,1
54,54,23,27,1,4,92,RandomAgent,RandomAgent,0
55,55,19,23,1,3,68,RandomAgent,RandomAgent,1
56,56,44,27,0,6,131,RandomAgent,RandomAgent,0
57,57,31,25,0,6,118,RandomAgent,RandomAgent,1
58,58,31,30,0,5,116,RandomAgent,RandomAgent,0
59,59,19,26,1,5,114,RandomAgent,RandomAgent,1
60,60,12,38,1,4,104,RandomAgent,RandomAgent,0
61,61,39,13,0,4,103,RandomAgent,RandomAgent,1
62,62,40,47,1,7,173,RandomAgent,RandomAgent,0
63,63,41,40,0,8,192,RandomAgent,RandomAgent,1
64,64,22,41,1,4,92,RandomAgent,RandomAgent,0
65,65,25,24,0,5,128,RandomAgent,RandomAgent,1
66,66,40,47,1,5,123,RandomAgent,RandomAgent,0
67,67,25,43,1,5,103,RandomAgent,RandomAgent,1
68,68,51,35,0,6,151,RandomAgent,RandomAgent,0
69,69,43,17,0,6,129,RandomAgent,RandomAgent,1
70,70,27,39,1,4,106,RandomAgent,RandomAgent,0
71,71,23,31,1,6,157,RandomAgent,RandomAgent,1
72,72,29,29,tie,6,160,RandomAgent,RandomAgent,0
73,73,35,30,0,6,153,RandomAgent,RandomAgent,1
74,74,14,35,1,5,119,RandomAgent,RandomAgent,0
75,75,32,46,1,7,138,RandomAgent,RandomAgent,1
76,76,32,53,1,7,154,RandomAgent,RandomAgent,0
77,77,36,50,1,6,142,RandomAgent,RandomAgent,1
78,78,32,25,0,6,126,RandomAgent,RandomAgent,0
79,79,30,32,1,7,147,RandomAgent,RandomAgent,1
80,80,18,41,1,6,145,RandomAgent,RandomAgent,0
81,81,39,34,0,5,105,RandomAgent,RandomAgent,1
82,82,36,25,0,6,122,RandomAgent,RandomAgent,0
83,83,16,42,1,5,115,RandomAgent,RandomAgent,1
84,84,50,20,0,5,125,RandomAgent,RandomAgent,0
85,85,4,30,1,5,118,RandomAgent,RandomAgent,1
86,86,43,27,0,5,130,RandomAgent,RandomAgent,0
87,87,34,36,1,5,99,RandomAgent,RandomAgent,1
88,88,35,36,1,5,134,RandomAgent,RandomAgent,0
89,89,0,46,1,4,97,RandomAgent,RandomAgent,1
90,90,31,44,1,7,160,RandomAgent,RandomAgent,0
91,91,47,37,0,6,139,RandomAgent,RandomAgent,1
92,92,16,55,1,5,129,RandomAgent,RandomAgent,0
93,93,47,42,0,7,157,RandomAgent,RandomAgent,1
94,94,53,25,0,6,129,RandomAgent,RandomAgent,0
95,95,19,44,1,5,118,RandomAgent,RandomAgent,1
96,96,15,16,1,4,87,RandomAgent,RandomAgent,0
97,97,22,39,1,6,155,RandomAgent,RandomAgent,1
98,98,22,18,0,4,100,RandomAgent,RandomAgent,0
99,99,25,14,0,4,69,RandomAgent,RandomAgent,1
100,100,35,43,1,6,145,RandomAgent,RandomAgent,0
101,101,36,38,1,6,140,RandomAgent,RandomAgent,1
102,102,28,16,0,3,71,RandomAgent,RandomAgent,0
103,103,30,6,0,5,112,RandomAgent,RandomAgent,1
104,104,40,10,0,4,99,RandomAgent,RandomAgent,0
105,105,17,41,1,5,104,RandomAgent,RandomAgent,1
106,106,36,15,0,3,87,RandomAgent,RandomAgent,0
107,107,53,45,0,8,180,RandomAgent,RandomAgent,1
108,108,55,34,0,8,168,RandomAgent,RandomAgent,0
109,109,11,29,1,4,105,RandomAgent,RandomAgent,1
110,110,30,31,1,5,127,RandomAgent,RandomAgent,0
111,111,36,17,0,5,130,RandomAgent,RandomAgent,1
112,112,22,26,1,6,129,RandomAgent,RandomAgent,0
113,113,13,36,1,5,131,RandomAgent,RandomAgent,1
114,114,16,49,1,6,150,RandomAgent,RandomAgent,0
115,115,18,41,1,4,83,RandomAgent,RandomAgent,1
116,116,46,24,0,5,128,RandomAgent,RandomAgent,0
117,117,50,23,0,8,168,RandomAgent,RandomAgent,1
118,118,30,29,0,5,100,RandomAgent,RandomAgent,0
119,119,29,31,1,6,150,RandomAgent,RandomAgent,1
120,120,7,54,1,5,106,RandomAgent,RandomAgent,0
121,121,54,25,0,6,140,RandomAgent,RandomAgent,1
122,122,17,32,1,4,110,RandomAgent,RandomAgent,0
123,123,7,53,1,7,176,RandomAgent,RandomAgent,1
124,124,33,3,0,4,81,RandomAgent,RandomAgent,0
125,125,52,11,0,6,139,RandomAgent,RandomAgent,1
126,126,29,47,1,7,166,RandomAgent,RandomAgent,0
127,127,33,12,0,4,104,RandomAgent,RandomAgent,1
128,128,23,38,1,5,122,RandomAgent,RandomAgent,0
129,129,35,47,1,6,150,RandomAgent,RandomAgent,1
